"GEOID","B01001_001","B25001_001","B26001_001","aggtraveltimeperperson","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_per_dr_service","ua_per_do_service","ua_est_daily_ridership","ua_est_operating_cost_per_person","fatalmvapercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","public_score","infrastructure_score","safety_score","private_score","transportation_state_rnk","NAME"
"01001",55380,23493,565,23.5471889587985,1.99752301724541,0.51200780202365,85.7885122792775,0.657600974223665,0.856504972599959,0,0,0,0,0,0,0,0,0,0,91.24,12.1803069053708,97.96,86.1,90.06,85.49,31.0606060606061,"Autauga County, Alabama"
"01003",212830,114164,3008,25.1449415402454,1.90780921784258,1.36015655240635,83.7601056462782,0.0483138467484781,0.600165340719984,0,0,0,0,0,0,0,0.469858572569657,0,0,92.86,23.6253196930946,96.28,85.93,90.36,90.24,57.5757575757576,"Baldwin County, Alabama"
"01005",25361,12013,2886,22.0586805977402,1.73076511503478,4.10642692260965,82.1163892601142,0.328028186125623,2.68497144939862,0,0,0,0,0,0,0,3.94306218209061,0,3.94306218209061,98.36,62.1803069053708,97.05,86.26,100.92,104.43,90.9090909090909,"Barbour County, Alabama"
"01007",22493,9185,1893,28.8135178155994,1.96444637933537,1.28676470588235,87.0576711154647,0,0.13468838006612,0,0,0,0,0,0,0,0,0,0,91.15,11.8286445012788,96.15,85.54,90.06,85.03,28.7878787878788,"Bibb County, Alabama"
"01009",57681,24323,551,33.8418626094975,2.19998081258694,1.1297090422834,87.5195942830798,0.129091747349009,0.447210696173352,0,0,0,0,0,0,0,1.73367313326745,0,0,89.3,3.86828644501279,96.5,85,91.17,80.83,4.54545454545455,"Blount County, Alabama"
"01011",10248,4557,437,26.6786293123408,1.91962510650383,6.23117905953208,80.9446631164622,0,4.93169715211855,0,0,0,0,0,0,0,0,0,0,100.22,71.3874680306905,96.15,85.76,90.06,110.94,93.9393939393939,"Bullock County, Alabama"
"01013",19828,10089,323,23.4303069053708,1.89993851829081,3.01790281329923,86.0485933503836,0.153452685421995,0.728900255754476,0,0,0,0,0,0,0,5.04337300786766,0,0,93.54,28.5805626598465,96.57,86.11,93.31,91.78,60.6060606060606,"Butler County, Alabama"
"01015",114618,53631,3134,24.3566632067278,1.97450958412734,1.61075555173747,84.3751985934289,0.391891033109497,1.34725782193319,0,100,29,50,0,58392.66,405901.655,0,0,0,94.76,37.6918158567775,97.23,114.09,90.06,90.43,81.8181818181818,"Calhoun County, Alabama"
"01017",33660,16988,532,23.1955175053943,1.94988102320048,2.52001392272885,86.2114568107469,0.250574232616413,0.696039535045591,0,0,0,0,0,0,0,0,0,0,92.75,22.6662404092072,96.84,86.14,90.06,89.69,56.0606060606061,"Chambers County, Alabama"
"01019",25903,16579,275,29.0096300050684,2.14445375803297,0.94272681196148,82.0780537252914,0.212873796249366,0.446021287379625,0,0,0,0,0,0,0,7.72111338455005,0,0,91.14,11.73273657289,96.73,85.51,95.03,86.69,27.2727272727273,"Cherokee County, Alabama"
"01021",44055,19781,418,31.3276950703817,2.02073610208543,2.03916116324875,83.8150958697793,0,0.463418872733592,0,0,0,0,0,0,0,0,0,0,92.91,24.1687979539642,96.15,85.27,90.06,89.39,59.0909090909091,"Chilton County, Alabama"
"01023",12925,7359,181,33.8748466257669,2.02471698113208,1.25615763546798,84.6134969325153,0,1.52147239263804,0,0,0,0,0,0,0,30.9477756286267,0,15.4738878143133,90.6,8.75959079283887,96.15,84.99,142.67,88.94,24.2424242424242,"Choctaw County, Alabama"
"01025",24128,12784,360,26.3682630823437,1.94719471947195,0.812475429170489,88.4379485841054,0,0.326242985775806,0,0,0,0,0,0,0,16.57824933687,0,8.28912466843501,89.13,3.54859335038363,96.15,85.8,118.24,83.38,1.51515151515152,"Clarke County, Alabama"
"01027",13337,6799,246,27.7835807220084,2.16660253943825,2.07073483599047,87.3740150265714,0,0.861279091075683,0,0,0,0,0,0,0,14.9958761340631,0,0,89.53,4.47570332480818,96.15,85.65,99.72,84.25,7.57575757575758,"Clay County, Alabama"
"01029",14916,6844,172,32.8242446573324,2.14823943661972,1.34562211981567,84.5799557848194,0.0368459837877671,0.681650700073692,0,0,0,0,0,0,0,13.4084204880665,0,6.70421024403325,90.17,6.9693094629156,96.25,85.11,112.85,85.46,16.6666666666667,"Cleburne County, Alabama"
"01031",51662,23188,593,22.0836876258671,1.99467978317607,3.00290892817185,87.0440814499888,0.0179010964421571,0.841351532781383,0,0,0,0,0,0,0,0,0,0,92.04,17.3593350383632,96.2,86.26,90.06,89.38,48.4848484848485,"Coffee County, Alabama"
"01033",54771,26588,446,22.8739842813374,1.96576782449726,1.49200710479574,89.627458816216,0.111007504107278,0.448470316593402,0,0,0,0,0,0,0,0,0,0,90.01,6.20204603580563,96.45,86.17,90.06,83.52,13.6363636363636,"Colbert County, Alabama"
"01035",12394,7182,45,27.4856938483548,1.73709641994289,1.64520743919886,88.9365760610396,0.214592274678112,1.23986647591798,0,0,0,0,0,0,0,0,0,0,93.67,29.5076726342711,96.74,85.68,90.06,89.91,63.6363636363636,"Conecuh County, Alabama"
"01037",10757,6585,380,27.4539877300613,2.10243055555556,1.37423312883436,82.1349693251534,0,2.03680981595092,0,0,0,0,0,0,0,27.8888165845496,0,18.5925443896997,90.23,7.16112531969309,96.15,85.68,147.28,91.25,18.1818181818182,"Coosa County, Alabama"
"01039",37200,18976,701,24.656902908644,1.92028009695664,1.73449877082764,88.9526150484774,0.0341390140652738,0.730574900996859,0,0,0,0,0,0,0,5.37634408602151,0,2.68817204301075,90.8,9.75063938618926,96.24,85.98,99.2,85.98,25.7575757575758,"Covington County, Alabama"
"01041",13844,6815,175,28.4222655557525,1.99817924337447,4.78638539266088,80.0567275305797,0.780003545470661,1.9677362169828,0,0,0,0,0,0,0,0,0,0,98.55,63.1393861892583,98.3,85.58,90.06,101.9,92.4242424242424,"Crenshaw County, Alabama"
"01043",82853,37842,1238,25.9047055341817,2.12048076303409,0.703660817671684,86.5581532997928,0.0651080201242971,0.742823320509026,0,0,0,0,0,0,0,1.20695689956912,0,0,89.22,3.74040920716113,96.33,85.85,90.83,82.81,3.03030303030303,"Cullman County, Alabama"
"01045",49277,23103,1342,21.0857397592749,1.95262150377539,2.09811946329586,86.4034870474021,0.0346723463272079,3.12546436178117,0,0,0,0,0,0,0,8.11737727540232,2.02934431885058,2.02934431885058,92.47,20.1406649616368,96.24,86.36,102.82,93.19,51.5151515151515,"Dale County, Alabama"
